arrival_time,idle_time,start_service,service_time,depart_time
0,0,0,3,3
3,0,3,4,7
4,3,7,3,10
7,3,10,4,14
7,7,14,3,17
7,10,17,3,20
9,11,20,4,24
10,14,24,3,27
11,16,27,4,31
11,20,31,5,36
14,22,36,4,40
16,24,40,4,44
17,27,44,4,48
18,30,48,4,52
19,33,52,3,55
19,36,55,5,60
21,39,60,3,63
24,39,63,5,68
25,43,68,3,71
27,44,71,4,75
28,47,75,3,78
28,50,78,5,83
31,52,83,4,87
34,53,87,4,91
35,56,91,4,95
35,60,95,5,100
35,65,100,5,105
37,68,105,4,109
38,71,109,3,112
39,73,112,3,115
41,74,115,4,119
43,76,119,3,122
43,79,122,3,125
44,81,125,3,128
47,81,128,3,131
49,82,131,5,136
52,84,136,3,139
54,85,139,3,142
56,86,142,3,145
59,86,145,4,149
60,89,149,3,152
61,91,152,4,156
64,92,156,3,159
67,92,159,4,163
70,93,163,5,168
70,98,168,3,171
73,98,171,5,176
74,102,176,5,181
76,105,181,3,184
78,106,184,3,187
79,108,187,5,192
82,110,192,5,197
82,115,197,5,202
83,119,202,3,205
85,120,205,3,208
88,120,208,3,211
89,122,211,5,216
91,125,216,5,221
92,129,221,4,225
92,133,225,4,229
94,135,229,5,234
94,140,234,4,238
94,144,238,4,242
95,147,242,4,246
95,151,246,4,250
97,153,250,3,253
99,154,253,5,258
102,156,258,4,262
102,160,262,4,266
104,162,266,3,269
106,163,269,3,272
109,163,272,4,276
110,166,276,5,281
111,170,281,4,285
113,172,285,3,288
114,174,288,3,291
117,174,291,4,295
118,177,295,3,298
118,180,298,4,302
120,182,302,4,306
122,184,306,3,309
124,185,309,4,313
126,187,313,3,316
126,190,316,5,321
127,194,321,5,326
130,196,326,3,329
130,199,329,4,333
133,200,333,4,337
135,202,337,3,340
137,203,340,3,343
139,204,343,3,346
142,204,346,4,350
145,205,350,5,355
148,207,355,5,360
149,211,360,5,365
150,215,365,5,370
153,217,370,3,373
155,218,373,4,377
155,222,377,4,381
156,225,381,5,386
156,230,386,5,391
158,233,391,4,395
161,234,395,5,400
162,238,400,5,405
165,240,405,5,410
167,243,410,3,413
168,245,413,4,417
170,247,417,4,421
173,248,421,4,425
173,252,425,4,429
173,256,429,3,432
176,256,432,3,435
177,258,435,3,438
179,259,438,4,442
179,263,442,3,445
180,265,445,3,448
180,268,448,4,452
182,270,452,5,457
183,274,457,4,461
184,277,461,4,465
186,279,465,4,469
187,282,469,4,473
187,286,473,5,478
188,290,478,3,481
188,293,481,5,486
188,298,486,4,490
188,302,490,5,495
191,304,495,5,500
193,307,500,4,504
195,309,504,4,508
197,311,508,5,513
200,313,513,5,518
202,316,518,4,522
202,320,522,4,526
205,321,526,3,529
205,324,529,5,534
207,327,534,5,539
207,332,539,5,544
208,336,544,3,547
209,338,547,3,550
210,340,550,3,553
213,340,553,3,556
216,340,556,3,559
219,340,559,3,562
221,341,562,4,566
222,344,566,3,569
223,346,569,5,574
226,348,574,5,579
229,350,579,4,583
229,354,583,5,588
231,357,588,4,592
231,361,592,5,597
231,366,597,5,602
234,368,602,5,607
234,373,607,3,610
237,373,610,4,614
238,376,614,5,619
241,378,619,4,623
243,380,623,5,628
243,385,628,3,631
243,388,631,3,634
244,390,634,3,637
247,390,637,3,640
249,391,640,5,645
251,394,645,5,650
253,397,650,3,653
255,398,653,5,658
256,402,658,4,662
257,405,662,4,666
259,407,666,3,669
260,409,669,5,674
262,412,674,3,677
264,413,677,5,682
266,416,682,4,686
267,419,686,4,690
270,420,690,5,695
273,422,695,4,699
275,424,699,3,702
276,426,702,5,707
276,431,707,3,710
279,431,710,4,714
281,433,714,3,717
284,433,717,3,720
287,433,720,3,723
289,434,723,5,728
292,436,728,4,732
295,437,732,5,737
297,440,737,5,742
298,444,742,4,746
298,448,746,4,750
301,449,750,4,754
302,452,754,3,757
302,455,757,5,762
305,457,762,5,767
307,460,767,5,772
307,465,772,3,775
310,465,775,4,779
310,469,779,5,784
313,471,784,3,787
316,471,787,4,791
319,472,791,3,794
320,474,794,3,797
321,476,797,3,800
322,478,800,5,805
324,481,805,4,809
324,485,809,3,812
327,485,812,4,816
329,487,816,5,821
329,492,821,3,824
331,493,824,4,828
