arrival_time,idle_time,start_service,service_time,depart_time
0,0,0,3,3
2,1,3,5,8
3,5,8,5,13
5,8,13,3,16
5,11,16,3,19
6,13,19,3,22
8,14,22,4,26
11,15,26,5,31
11,20,31,3,34
11,23,34,4,38
14,24,38,3,41
17,24,41,4,45
18,27,45,4,49
20,29,49,4,53
21,32,53,5,58
24,34,58,3,61
24,37,61,5,66
25,41,66,3,69
25,44,69,5,74
27,47,74,5,79
28,51,79,4,83
30,53,83,4,87
31,56,87,3,90
33,57,90,3,93
35,58,93,5,98
35,63,98,4,102
37,65,102,5,107
38,69,107,5,112
41,71,112,4,116
43,73,116,3,119
45,74,119,3,122
46,76,122,4,126
47,79,126,5,131
48,83,131,4,135
49,86,135,3,138
52,86,138,4,142
54,88,142,4,146
56,90,146,5,151
56,95,151,5,156
58,98,156,4,160
59,101,160,5,165
61,104,165,5,170
63,107,170,5,175
64,111,175,4,179
66,113,179,5,184
68,116,184,4,188
71,117,188,3,191
71,120,191,3,194
71,123,194,5,199
73,126,199,5,204
75,129,204,5,209
76,133,209,5,214
79,135,214,5,219
81,138,219,4,223
84,139,223,4,227
86,141,227,3,230
89,141,230,4,234
89,145,234,3,237
90,147,237,5,242
91,151,242,4,246
92,154,246,3,249
95,154,249,4,253
96,157,253,4,257
97,160,257,3,260
97,163,260,3,263
100,163,263,3,266
100,166,266,4,270
103,167,270,4,274
105,169,274,4,278
107,171,278,3,281
107,174,281,5,286
109,177,286,3,289
112,177,289,4,293
113,180,293,3,296
115,181,296,3,299
116,183,299,5,304
117,187,304,3,307
119,188,307,3,310
120,190,310,3,313
123,190,313,4,317
126,191,317,5,322
126,196,322,3,325
126,199,325,4,329
129,200,329,5,334
130,204,334,4,338
132,206,338,5,343
132,211,343,3,346
134,212,346,5,351
137,214,351,5,356
138,218,356,4,360
140,220,360,4,364
141,223,364,5,369
143,226,369,4,373
143,230,373,5,378
146,232,378,4,382
148,234,382,3,385
150,235,385,3,388
151,237,388,5,393
152,241,393,3,396
152,244,396,5,401
154,247,401,5,406
157,249,406,3,409
157,252,409,5,414
160,254,414,4,418
163,255,418,4,422
164,258,422,5,427
165,262,427,4,431
166,265,431,5,436
167,269,436,3,439
169,270,439,3,442
170,272,442,4,446
173,273,446,4,450
175,275,450,5,455
178,277,455,4,459
180,279,459,4,463
182,281,463,3,466
182,284,466,3,469
184,285,469,3,472
184,288,472,5,477
184,293,477,5,482
185,297,482,3,485
185,300,485,5,490
187,303,490,3,493
190,303,493,5,498
191,307,498,3,501
193,308,501,5,506
193,313,506,5,511
193,318,511,5,516
195,321,516,5,521
198,323,521,5,526
198,328,526,4,530
199,331,530,3,533
199,334,533,4,537
202,335,537,3,540
204,336,540,4,544
206,338,544,4,548
207,341,548,5,553
210,343,553,4,557
213,344,557,5,562
214,348,562,3,565
217,348,565,4,569
217,352,569,4,573
217,356,573,4,577
217,360,577,3,580
219,361,580,3,583
222,361,583,5,588
225,363,588,3,591
226,365,591,3,594
228,366,594,4,598
230,368,598,5,603
231,372,603,3,606
232,374,606,3,609
235,374,609,5,614
238,376,614,4,618
240,378,618,3,621
243,378,621,3,624
245,379,624,4,628
245,383,628,4,632
245,387,632,5,637
248,389,637,3,640
251,389,640,5,645
254,391,645,4,649
257,392,649,3,652
258,394,652,5,657
259,398,657,4,661
260,401,661,4,665
260,405,665,3,668
263,405,668,3,671
266,405,671,5,676
269,407,676,4,680
271,409,680,5,685
274,411,685,3,688
276,412,688,3,691
279,412,691,5,696
279,417,696,5,701
281,420,701,3,704
283,421,704,5,709
286,423,709,5,714
287,427,714,3,717
288,429,717,5,722
290,432,722,5,727
291,436,727,5,732
292,440,732,3,735
295,440,735,5,740
296,444,740,5,745
299,446,745,4,749
300,449,749,4,753
302,451,753,4,757
304,453,757,4,761
305,456,761,3,764
